NO0B;Jan Mayen and Svalbard;0
FI2;Åland;30344
FI20;Åland;30344
LI;Liechtenstein;39308
LI0;Liechtenstein;39308
LI00;Liechtenstein;39308
ES63;Ciudad de Ceuta;82513
ES64;Ciudad de Melilla;83236
ITC2;Valle d'Aosta/Vallée d'Aoste;123360
EL41;Voreio Aigaio;195229
EL62;Ionia Nisia;204081
PT2;Região Autónoma dos Açores (PT);236488
PT20;Região Autónoma dos Açores (PT);236488
PT3;Região Autónoma da Madeira (PT);251182
PT30;Região Autónoma da Madeira (PT);251182
EL53;Dytiki Makedonia;253954
ITF2;Molise;292150
BE34;Prov. Luxembourg (BE);294400
FRY3;Guyane;296058
AT11;Burgenland (AT);297583
FRY5;Mayotte;299022
ES23;La Rioja;315916
EL54;Ipeiros;319206
EL42;Notio Aigaio;327517
FRM;Corse;348830
FRM0;Corse;348830
CH07;Ticino;352181
FRY2;Martinique;352205
NO02;Innlandet;371253
SE32;Mellersta Norrland;376247
IS;Iceland;376248
IS0;Ísland;376248
IS00;Ísland;376248
NL34;Zeeland;386767
AT34;Vorarlberg;401674
FRY1;Guadeloupe;407810
BE31;Prov. Brabant wallon;410619
NL23;Flevoland;434771
PT15;Algarve;465701
NO06;Trøndelag;474131
NO07;Nord-Norge;481926
NL13;Drenthe;497743
BE35;Prov. Namur;503408
EL64;Sterea Ellada;507072
MT;Malta;520971
MT0;Malta;520971
MT00;Malta;520971
SE33;Övre Norrland;524256
ITH1;Provincia Autonoma di Bolzano/Bozen;532616
DEB2;Trier;536772
EL65;Peloponnisos;538063
ITH2;Provincia Autonoma di Trento;540958
ITF5;Basilicata;541168
EL51;Anatoliki Makedonia, Thraki;560826
AT32;Salzburg;562606
AT21;Kärnten;564513
ES13;Cantabria;584368
NL11;Groningen;590170
DK05;Nordjylland;591740
ME;Montenegro;617683
ME0;Crna Gora;617683
ME00;Crna Gora;617683
EL43;Kriti;623633
LU;Luxembourg;645397
LU0;Luxembourg;645397
LU00;Luxembourg;645397
EL63;Dytiki Ellada;646621
NL12;Friesland (NL);654019
ES22;Comunidad Foral de Navarra;659155
DE5;Bremen;676463
DE50;Bremen;676463
EL61;Thessalia;686344
BG31;Severozapaden;702773
PT18;Alentejo;705410
FRI2;Limousin;722658
SK01;Bratislavský kraj;723714
NO09;Agder og Sør-Østlandet;735966
BG32;Severen tsentralen;750795
AT33;Tirol;764102
HR05;Grad Zagreb;766824
HR06;Sjeverna Hrvatska;785699
LT01;Sostines regionas;817950
CH06;Zentralschweiz;833178
DK02;Sjælland;843513
ITI2;Umbria;858812
SE31;Norra Mellansverige;859350
HU23;Dél-Dunántúl;864299
FRY4;La Réunion;869993
SE21;Småland med öarna;878580
BE22;Prov. Limburg (BE);888913
IE04;Northern and Western;894601
CY;Cyprus;904705
CY0;Kypros;904705
CY00;Kypros;904705
BG33;Severoiztochen;913468
PL52;Opolskie;928070
DEC;Saarland;982348
